,review,condition,drugName
47163,"""My  year old son was diagnosed with ADHD when he started Kindergarten. It was horrible. His doctor put him on Focalin XR. It worked pretty good, it definitely calmed him down and helped him concentrate in class. But after a while I noticed his appetite decreased immensely and he started losing weight. So in April of ` his doctor switched him to Vyvanse and it is amazing. His appetite is normal, he&#;s doing very well in school, and he&#;s making lots of friends. Our lives have changed for the better thanks to Vyvanse.""",1,6
47179,"""Today is my th day on Accutane and I have already seen some major results. I had a small breakout the first couple of days, but now it has gotten so much better. I&#;m so happy because I finally have hope that my acne will go away. Because I don&#;t even go out with friends anymore and everyone at school makes fun of my acne. Yes, its severe and I&#;m glad this is working. Side effects I have are dry lips and a little bit of back pain not much though. At school I am so ashamed of my face I try to hide it. All those who have severe acne you are not alone, I understand how you feel. """,0,5
47218,"""I was prescibed with this prior to needle surgery for my lower back. Now I have been referred by that doctor to a pain center and have been scheduled for that type of ambulatory surgery on my neck. I was in an car accident that I had a crushing injury to my neck. Later I was rammed into by another car and had whiplash. My lower back had Lamitory surgery that left my left leg with a fairly numb left leg that occasionally had shooting pains. The shooting pains have been helped and the feeling of pains and needles feeling has been greatly reduced too in that leg and foot. I am taking mg tablets. It does have a side effects of drowsiness, a clumsy effect, but the sleep I get is wonderful. Standard pain reducers where highly ineffective""",4,4
47220,"""I was prescribed Klonopin for anxiety several months ago. The dose was . mg up to twice daily.  Never having had it, I quartered a . mg tablet first dose. Seemed okay until a few hours later and I began coughing like mad. I have asthma.  Klonopin made me cough and increased the thickness of the mucus in my lungs until it was almost impossible to cough it up.  Just to be SURE it was the Klonopin and not something else, I have given it two other tries / of a . mg tablet.  Each time the same results.  I looked it up and &quot;cough&quot; is the nd most common side effect. FYI Naproxen and ibuprofen have the same effect on me.""",2,2
47332,"""Yeah, it works.

Some people are more sensitive than others. Generally, you take a pill (depends on dosage) and you just start feeling your tight chest and stomach release, and I notice I begin breathing more calmly and normally. Just feels good all over, which is such a contrast from the horrors of anxiety.

It can make you a little sleepy. I think for &#;normal people&#; it would make them very sleepy. For &#;anxious&#; people, I think it makes you normal and relaxed.

The one problem is that if you take it too much, like three days in a row, the effect is reduced and you have to &#;up&#; the dosage. I think it works best for occasional use, like before a difficult situation or when you&#;re just having a lot of anxiety and need calm.""",2,1
47335,"""Like many of you, I have tried several SNRI&#;s and SSRI&#;s..None work after a certain time period, and nearly all cause weight gain. I am thrilled that I might have actually found a solution to my chronic depression especially given this med is meant more for Bi-polar which is not my diagnosis. I have energy for the first time in years, no weight gain, no increase in appetite! Sleeping great and waking up with energy. I&#;m almost afraid to write this because I may jinx it but I feel great.. I am only on  mg. split up twice a day and I don&#;t need to increase at this point so I&#;m sticking with this low dose. very happy so far. I hope this review helps other who have struggled with finding a solutions to chronic depression..""",2,4
47339,"""It helps me from having severe anxiety attacks, I do go through normal emotions, so I only take them when I get too overwhelmed and I am going to have an anxiety attack. They are very helpful.""",2,1
47379,"""I&#;m female  years old, lbs. I was on  mg to mg now I&#;m at mg I have been on this medicine for  months. It makes me feel a little better but I have had bad dreams so now I take another pill to sleep.""",2,3
47395,"""I have suffered from anxiety and panic disorders for all of my adult life.  When I was diagnosed with Leukemia, my level of anxiety was at at all time high, because it also caused severe bone pain.  My pain-management Doctor had some samples of Niravam. The first week I tried it, my life was changed in a huge way.  It goes to work so quickly, if most effective and the half-life of this medicine seems short, so you aren&#;t being &quot;over-medicated&quot;.  I&#;ve suggested it to others with the same disorder, but sadly, most doctors have never heard of it. I appreciate a safe, effective medication and just wish that more doctors were aware that it&#;s more effective and no or very few side-effects, so they can benefit more patients.""",2,1
47419,"""If you have acne, Accutane is the holy grail.  I had mild-moderate acne in high school.  I took it for six weeks.  It sucked my skin dry as a bone, but after that, my skin looked pristine.  With the exception of an occasional stray pimple, I have not had a breakout in  years.  There is no point in trying anything else.""",0,5
47449,"""Changed my life.  Quiets the irrational fears and depression that accompany anxiety disorder.  Taking mg/daily.  Weight gain but could also be because I&#;m happy and eating again.  Also sleep great and feel calm.  No sexual side effects.  Stay with it for - weeks.  If it doesn&#;t work for you, try another medication until you find the one that clicks.  Don&#;t give up!""",2,3
47537,"""Xanax has probably helped keep me alive and breathing over the last two years.  The toll of being a military wife, mom, full-time worker, etc. had me so stressed out that I began to procrastinate on EVERYTHING because I couldn&#;t emotionally handle things like paying bills, running errands, etc.  I only take .mg of Xanax as needed, but just knowing it&#;s in my purse helps me keep my busy life moving ahead.  Combined with Zoloft for depression and Ambien for insomnia, I finally feel like a normal person.  I feel sorry for the woman I used to be, but I&#;m so happy to be myself now.""",2,1
47606,"""I&#;ve been taking this medicine for  days and all I can say is wow! Is this what normal life is supposed to feel like? I was diagnosed with a chronic pain condition that is caused by a lifetime full of anxiety and the tightening and clenching of muscles that were not intended to be in constant use. The pit in my stomach is gone and I am actually looking forward to waking up in the morning and being able to face the day anxiety free!""",2,1
47772,"""I&#;ve been taking this medicine Alprazolam since November  (.mg) as needed for my generalized anxiety disorder. I don&#;t need to take it all the time just on those really bad days I need the help. In between those times I&#;ve used essential oils as well to keep my anxiety at bay while I&#;m working because I operate heavy machinery. But this medicine has helped me a lot. I personally don&#;t find it habit forming. I like that fact this just takes the edge off and not make me feel like a zombie. I only take it when I&#;m home. 
Thanks for listening!""",2,1
47825,"""I have lower back pain and this medicine helps just a little. It does make me nod out a little right after taking. I was using Vicoden before and it worked much better for the pain and didn&#;t make me feel as strange as tramadol did but the doctor doesn&#;t want to give me Vicoden even though I have  fractured discs and a tear in my vertebrae. """,4,7
47890,"""I took Accutane when I was in high school. First I tried all different kinds of medication (over the counter and by doctor) the Accutane worked so good! I had big cystic acne on my face, back and ears. The only for me is dried lips and of course skin out really bad. I also had bad mood swings. My acne was gone for probably - years and now it&#;s back. I&#;m hoping to try to get back on it.""",0,5
47933,"""I have anxiety for a long time, taking Zoloft for it since  not sure how much it helps, but when I get really bad I take Xanax .mg, it does help quickly. My only thing on Xanax, I wished that it wouldn&#;t be habit forming and because of that, you may need to make dosage higher and higher after .mg. Also recommend checking for interactions with Xanax if you are taking any other medicines.""",2,1
48155,"""I really want parents to take a good look at what they may be about to give their children before they do so. If dopamine deficient; Vyvanse will initially appear to be amazing. Until a &quot;tolerance&quot; is built up when it will leave a person feeling as low/moody and agitated as they ever have. Recent studies indicate that mood disorders may mask themselves as ADD/ADHD. If you or your child is experiencing any of the major or severe emotional side effects of this or other stimulants; please consider that it could be mood disorders brought on by a dopamine deficiency. This is what happened to me and because I was aware of the symptoms of dependency and mood disorder, I recognized it immediately.""",1,6
48191,"""I have found them to do the job for me so far.""",2,1
48363,"""Tramadol is a mixed bag for me, it seems to help some types of pain better than others and seems to work better some days than others. I am on  mg extended release and it does not seem to work as well as the short acting pill - hrs, but is worth the convenience of taking only once a day.""",4,7
48484,"""I was prescribed this drug after tearing some ligaments in my shoulder. I experienced little to no relief of the pain while on this drug. The side effects are real though and just made me feel worse. I have intense back pain and sinus infection like symptoms that only surfaced after my second day on the drug. my lower back aches and my eyes hurt while I experience nausea as well.  In my opinion this drug does more harm than relief.""",4,7
48499,"""I have a very stressful life. After my mother passing in , I started having major anxiety. It truly was debilitating my entire life. My Dr put me on . mg twice a day to help. It was the BEST thing I ever did. I have been on them for  yrs now&#;s. I&#;m  and a mother of . There are days when I really feel the anxiety peek and I take one. Its the only thing that will work within - mins. It really has helped me tremendously. I can take my meds as prescribed and still am able to take care of home, kids and work feeling normal. I would suggest this for anyone how has anxiety or panic attacks or tons of stress.""",2,1
48523,"""After trying Ritalin, Concerta, Adderall. This medicine changed everything. I am organized and focused for first time in my life, I&#;m . Only draw back is it last about  hours for me not . But  productive hours, actually finishing things is better than I&#;ve ever had!""",1,6
48540,"""I tried literally everything from the &quot;best&quot; off the shelf products to the long line of prescription medications that my dermatologist put me on, I finally got put on Accutane after  years of severe cystic acne. I am currently in my second month of use and without any acne. My acne scars remain intact, however, there is not a single active zit on my face. I am very excited and would recommend that anyone with cystic acne look into it.
If you&#;re on here looking at these reviews because you&#;re scared or unsure if it will treat your acne, I&#;m telling you it will! %""",0,5
48547,"""I remember tears rolling down my face as I signed the packet confirming that I understood the potential side effects of taking this medicine. I had suffered from large and painful cystic acne on my jawline since I hit puberty around  and nothing - natural remedies, chemical-filled lotions, Spironolactone, birth control pills, change in diet, drinking more water, etc. - had come close to fixing it. I have depression and Crohn&#;s in my family and worried this would make it worse. Aside from dry lips and dry skin I did not have any side effects and my acne is FINALLY GONE. Started April &#; ended in November &#;. I did have an initial breakout. I know many people who have taken it as well who do not have any horror stories. Don&#;t be afraid!""",0,5
48550,"""I was prescribed gabapentin for insomnia.    It works, but I&#;m hungover the next day.   I mentioned it to my pain doctor and she said when my body adjusts to it -- that will stop.    She&#;s thinking about pan -- I&#;m thinking about sleep.   I haven&#;t taken it long enough to see if it helps my pain.""",3,4
48581,"""I have GAD stemming from PTSD due to trauma in my past. I&#;ve been taking all sorts of medication for it for years, including Klonopin which I did not realize was habit forming until after I started taking it. Then, last year, I switched doctors, and she refuses to prescribe benzos, especially since I had a problem with alcohol abuse. Last month, she prescribed me Neurontin and I thought it wouldn&#;t work, so I put off getting the script filled. But then it got to the point where I couldn&#;t live with the anxiety so I went and got the script filled just to give it a shot and I&#;m so amazed at the difference it makes. I do not feel anxiety at all anymore and even though it makes me kind of foggy, I can still function. I love this med.""",2,4
48652,"""I take tramadol mg three times daily for severe carpal tunnel syndrome and recurrent tendonitis.  It is the only thing that has helped me so far, and has very few unpleasant side effects for me.  I must take it with food, however, or I have nausea.  This medication has been a lifesaver for me, it is effective without the spacey feelings of narcotic pain relievers.""",4,7
48696,"""I am a  year old male diagnosed with ADD around  years ago. About a while back I was prescribed to mg of Vyvanse. So far its effects have been very positive. In the past, I have been on Strattera and Adderall. The eupohric feeling Adderall produces brings a high potential for abuse and dependence, along with extreme mood changes and irratability. With Vyvanse, the urge for more does not exist. It is consistent throughout most of the day and delivers concentration and a sense of confidence and well-being. I&#;ve had slightly decreased appetite, but am much more productive and focused. I feel that I have gotten my life back. It is the best ADD medicine I have been on. Highly recommended.""",1,6
48746,"""For three years I self medicated with over the counter codeine for anxiety and depression. I never ever wanted to take antidepressants thinking I just needed to eat healthier, .be more social, find a better job, excercise etc.  After several weeks of panic attacks and gaining weight I decided I would fill the script for Lexapro (I got Lexam).  I took mg the first night and instantly felt calm, a bit dizzy/dopey and went to bed. The next day I felt spaced out and also defeated for taking them. It felt a bit like walking in water...slow. The next day I felt great! I&#;ve been on them a week and no more anxiety, depression. Now I have something to GIVE to my family and friends and can work new Jobs and socialise and connect with strangers.""",2,3
48779,"""Lexapro saved my life pure and simple. I was  years old and worked many years in the financial industry. One night before I went to bed right after X-mas, I had a severe panic attack and for three months I suffered unbelievably. I tried dieting, meditation, vitamins, exercise, you name it. Nothing worked. I first tried Zoloft but the side effects were awful. Next I tried Lexapro. Side effects were bad for  weeks and then after a month, anxiety reduced by %. Still have some but % better than before. Another key is to meditate, eat right, exercise and connect spiritually. Lexapro for the brain and meditation for the soul!""",2,3
48892,"""I&#;ve been on the medication for about  months now. I used to be one of those people that frowned upon others taking these sort of medications. Until one day, out of no where, I was struck with major anxiety, which then caused me to become depressed. I&#;d avoid social gatherings. I&#;d have complete nervous breakdowns about meeting up with friends. Every morning was a battle to go into work and face my colleagues. I started drinking heavily. If I had to go out, I&#;d take a shot to calm my nerves. I went to the Dr. and she prescribed me. Ever since taking the medication, I&#;m pretty much back to who I used to be. I feel free again. I&#;d recommend this to anyone who suffers from anxiety or depression.""",2,3
48952,"""Have had mild anxiety issues since early s. Spiralled downwards with increasing anxiety after an injury that made me unable to work. Tried mirtazapine with temporary relief, but got worse again after a few weeks and before starting Lexapro anxiety was so bad that I was unable to work and that leaving the house resulted in panic attacks. Started Lexapro on a Friday. Felt absolutely terrible until Tuesday. Nauseous (relief from Reglan though), heavy anxiety, buzzing feeling in body. Then improvement came very gradually and very slowly for the next weeks. On week  now and honestly feel great. The crippling anxiety that was present / is gone and only on occasions do I feel it, only much milder and never in the form of panic attacks.""",2,3
49131,"""I have only been on this medicine for a couple of days. At first I felt a little sick. Taking it as prescribed, feeling light headed at times and found myself wondering where I was after slipping into just a day dream. I was taking mg but now I am taking just half and feel right as rain.""",2,2
49141,"""I have been taking Ultram (brand) for  years for the management of chronic neuropathy pain in my arms, legs, hands, and feet, and I wouldn&#;t change it for anything.  Non-addictive, effective % of the time, it&#;s a rare day when the pain exceeds the drug&#;s ability to control it. Yes, there is some occasional residual background discomfort; with chronic pain that&#;s to be expected.  However, as long as I can function normally without a lot of adverse side effects and addiction, I&#;m a happy camper.  Please note this is for the brand Ultram. I had serious issues with the generic (with the fillers, I think), and do not recommend generic at all.""",4,7
49173,"""My insomnia started as a teenager.  I started out with lunesta.  It had no effect.  Next came the Ambien which caused me to sleep walk essentially.  *one of the most dangerous drugs on the market*.  I started contemplating why I couldn&#;t sleep every night and it went along the lines of an anxious curiosity.  Thinking to myself I wonder what the molecular structure of that plaster looks like.  So I asked to try something more anxiety based and less sleep aid based.  I have been taking it periodically when required for the past  years with breaks in between.   mg will knock me out hard but -. mg is a pretty good dose to just relax me.  I&#;ve never been very dependent, no withdrawals, and I have never built up a tolerance to it.""",3,2
49314,"""I feel like I&rsquo;m being a little generous by giving Vyvanse a  because it does work to some degree, but I have very unpleasant side effects from it. My doctor finally switched me to generic Adderall IR-thank God-and it&rsquo;s fantastic. I must be abnormal with how I digest Vyvanse or something because I find it far more potent, and not in a good way. It gives me serious dry mouth, diahrrea, anxiety, excessive sweating, and depression. The effect was different almost everyday: some days were okay, a lot were terrible, and a few were good. It muted most of my emotions except a general sense of discomfort. But I could focus when it didn&rsquo;t make me depressed. On the hand, Adderall IR is a cake walk and I feel great in general.""",1,6
49326,"""If your looking for one review to influence your decision read this one.

I am  years old. I have struggled with acne sence I was , it has taken quite a toll on myself esteem. Too many times I heard from family and friends &quot;just take you the way you are&quot; and live with it. I wouldn&#;t have it, I told myself I would find a way to enjoy the quality of life I want! I tried all the topical treatments your could think of and even more questionable methods. Nothing really worked. I then decided to go a prescription route and to try isotretinoin. It has cured me. After a year I AM COMPLETELY CURED!!! Though it has risks if you serious about change make the decision. Sometimes i look in the mirror and cry knowing I persevered and reaped my rewards""",0,5
49517,"""I was diagnosed with ADHD at the age of  and have been on Ritalin and Adderall throughout my entire life since then.  I know long time.  I was switched to Vyvanse and this is my first day taking it and I like it so far.  I wouldn&#;t call it a &quot;miracle drug&quot; for me because I have extreme ADHD but it is a lot smoother than Adderall XR I was taking prior.  I also feel more emotionally stable and have more confidence. I also take another  mg of Adderall around noon and another mg.  We will see how this medicine holds up to all this good stuff.  I am hoping forever since I will never be able to get off a stimulant medication.  But remember, if you have been on stimulants for awhile and do not take them, you will feel EXTREMELY tired and sleep all day.""",1,6
49632,"""I had been taking vyvanse for a little of a month now for adhd and binge eating. it has worked well so far. I&#;m able to concentrate and have a little more energy. I felt no side effects at all,and I&#;m one who is scared to take a vitamin. I was on topamax for binge eating and it was the worse experience in the  years of my existence. I had already managed to loose a little weight on this so far.""",1,6
49657,"""I personally truly enjoy the fact that while my anxieties are prominent; the Xanax provides me with the security to take a deep breath and if things become too overwhelming I have the option of taking it when needed.""",2,1
49707,"""I have been on Klonopin for  years. I&#;ve only had to up the dosage once, from .mg to  mg per day. Before I took it I started having uncontrollable panic attacks, loss of appetite, lack of concentration. Klonopin worked instantly. I went from no appetite, to being able to eat normally again. There has only been one short period in my life during those  years, when my circumstances were so overwhelming that the panic attacks re-occurred, and I would sometimes take an extra dose. This medicine has been a life saver for me. In all those years I have only lost  days of work because of anxiety related illness. I thank the doctor who put me on this and who keeps monitoring me to see that I am OK.""",2,2
49731,"""I was prescribed tramadol for my migraine headaches because the normal migraine meds haven&#;t worked for me. Tramadol works well for the pain and doesn&#;t give me the narcotic &quot;haze&quot; so I can still function.""",4,7
49787,"""I&#;m a  year old with severe acne on my face. I took  mg for the first two months and am currently on  mg. I am on my third month and am starting to see great results. 
Some of the side effects that I&#;ve had are very dry skin near my mouth and nose, chapped lips (especially on the corners), and sore shoulders.
(All of which I&#;ve found relief for, thankfully. Clinique Dramatically Different Lotion for my skin, Vaseline for my lips, and the occasional Advil for when I am sore).
I still have a few cysts on my jaw and lower cheek but they are slowly disappearing. 
I have a lot of hyperpigmentation and scarring from years of severe acne but I am hopeful.
This medication is very expensive but I really feel like it has been worth it.""",0,5
49873,"""I have to give Vyvanse a solid . I asked my Dr to switch me from Adderall instant release mg x a day to Vyvanse and in my honest opinion this was the best decision I made. Vyvanse helps me focus, more motivation, feels more subtle which I absolutely love. Adderall for some reason made me feel like a different person, but with vyvanse I feel like myself still which is great. It is really long lasting, I don&#;t know or understand how people say it only last for a few hours when in my experience it last a good - hrs. In fact I heard people say it loses potency after  hours or so but in my experience I think it actually increases. But this is just my experience, and maybe metabolism aswell but anyway I hope this is helpful for others.""",1,6
49878,"""I am  years old and have been on Claravis for the past  months. Before Claravis I tried everything. I have struggled with severe acne my entire life, but around month  of Claravis my skin was completely clear. Don&#;t get me wrong, the initial break out period was the worst, but a few months later I am completely thankful. I highly recommend this medicine. Also, I didn&#;t suffer from any of the side effects with the exception of severely chapped lips.""",0,5
49895,"""I&#;m  and was just given Vyvanse for ADD. Always knew I had it, but was to embarrassed to actually do anything about it. After taking this medication for the last week, it was really a huge mistake to wait. It has fixed my memory, my focus, my social anxiety, can go places and don&#;t want to leave right away. I am sure things can still turn but it has been the best week of my life that I can remember. If I can get past the side effects, dry mouth, stomach pain, little trouble sleeping (all worth it for me) I&#;ll be good. Now I just hope it can fix my spelling soon.""",1,6
49916,"""Klonopin is the best benzodiazepine in my opinion for any sort of anxiety disorders. It helps me the most I have SAD GAD and PTSD. This medicine lets me feel calm, at ease, and I can speak my mind. .mg is all one needs and it lasts about  hours for me, and the long half life keeps my anxiety levels lower than usual If I don&#;t take it the next day.""",2,2
49938,"""Out of all the benzodiazepines I think that Xanax (alprazolam) is the best for me, acts quick &amp; does what it says, just be careful &amp; if you are going to ask your Dr. For them I recommend maybe starting out a smaller dose and work up from there. If that doesn&#;t work, the reason is, after a bit you get a little immune to strength &amp; can bump up in dosage if this happens, unless you have a high tolerance, then maybe start at  mg, that way you can still move up if that doesn&#;t work, but I recommend starting small &amp; moving up in dosage if needed.""",2,1
49971,"""I&#;ve been taking  mg three times a day for the pain resulting from a failed ulnar nerve transposition.  It helps a lot with my pain.""",4,4
49979,"""I took  mg three times a day after months and months I attempted suicide, spent a few times in the mental ward, and worse, a major loss of sex drive, disfunction. I never had a problem like that before. I stopped taking it and am better now. The side effects went away. Except the sexual drive I&#;m still working on. Getting better""",4,4
49983,"""Have been taking this for only about  days. Seems to take away most of the pain. Works better than anything else has for me. I&#;ve tried Vicodin, Percocet, and naproxen tablets. This works better than any.""",4,7
50056,"""I have generalized anxiety. Was on Klonopin for years mostly for sleep, but now I realize I have anxiety. I wanted so much off of benzo&#;s, and finally after horrid withdrawal even tapering, got off Klonopin. Issues arose, heart palpitations, sweating, dry mouth, hair loss, everyone said back on Klonopin. I refused. Now my blood pressure also elevated.I am now taking xanax extended release and my blood pressure is normal, mouth not dry, no more sweating, palpitations.I feel normal again.""",2,1
50085,"""I have have had mild/persistent acne for about  years now (I&#;m ) and have tried several treatments. The most effective was doryx which I was on for nearly  months, it cleared my skin up completely. However, that clear skin only lasted  few months, and by the end of the treatment my acne was flaring up again. That is when my dermatologist prescribed me accutane. I was assured there would be no new flare ups because my acne was mild. However, I am on day  now and I can say my skin was clearer when I started accutane than it is now. On top of that I am experiencing very dry skin and chapped/cracked lips. I am going to stick the full treatment out, but just a warning that more likely than not you will break out before it gets better.""",0,5
50127,"""I took Accutane a few years ago to clear up my swamp face (so oily!) and my breakouts weren&#;t bad, but whenever I had one I&#;d scar so bad...So I did mg x a day...took about two weeks but the oiliness went away and after about a month or two I was seeing beautiful skin. Stayed clear for years after. Chapstick, and heavy duty lotions and creams are important, and I also had to use eye drops as my eyes got dry. Wonderful, wonderful medicine.""",0,5
50156,"""Ever since I was taken ill with mono and strep which occurred at the same time, I have suffered terrible anxiety, OCD with my throat, and some other strange changes.  I had been through Zoloft, Prozac, and Paxil until I was given chlorazepate.  Chlorazepate was the only one that even worked in the slightest.  I told my doctor I could tell it was working but felt that there might be something better,  That&#;s where Klonopin comes in.  It helps control my anxiety and OCD to a manageable level.  Sometimes I&#;ll just break them in half and take .mg in a day, other days sometimes ill need to take -. Basically it has changed my life for the better and I&#;m glad to have finally found a medicine that works.""",2,2
50198,"""This is amazing medication.  It works!  It will take around - weeks (for me it was . weeks) and then you will notice the pain is greatly reduced.  I&#;ve read some reviews here that say they are pain free.  I didn&#;t believe it when I first started this medicine but I sure do now!
I take Tramadol with the Gabapentin.  I purposely didn&#;t state the doses because everyone is different, so its not important.  I tend to be somewhere about average.
Yes, there are side effects, this is a powerful medicine, so it&#;s to be expected. Not much else I can say except it has changed my life. I literally felt like someone gave me a new lease on life!""",4,4
50199,"""How bad is your Acne?
How bad do you want it gone?
These are just a couple of questions that you need to answer before taking this drug. If your acne is bearable and you feel you can control it with over the counter medicines than do so. I had moderate acne since I was in th grade and I had tried everything out there. Accutane worked miracles. I have confidence... you just start waking up without breakouts. The side effects are bad (severe chapped lips, chapped face, I was tired all the time, acne got worse). I would do it again if I could.  months of hell for a lifetime of great skin. When I visited home after  months on the Accutane EVERYONE commented on my skin. PLEASE take this if you want to get ride of acne. 

""",0,5
50431,"""Though told stories by family how ACTIVE I have always been, despite its&#; negative tone, I always thought &quot;ACTIVE&quot; was positive. Now  with  children, a husband, my  year old was diagnosed with ADHD. With her diagnosis, came mine. I take mg of Vyvanse in the morning and it allows me to focus in the way I have always strived to. With it, I achieve my goals more comfortably, but I make sure I eat before taking it, drink a lot of water and try to exercise. It is not a magic pill and it is still essential to use the coping strategies I developed from years of having to cope on my own. My only concern is my heart and blood pressure. Overall, this is a solid, good medication that allows for a more balanced life.""",1,6
50443,"""I&#;ve been dealing with anxiety my entire adult life (I&#;m ). Finally, after a long period of unemployment, I was able to get insurance, and began seeing a psychiatrist. Despite complaining about panic attacks, he prescribed Wellbutrin (buproprion) for my depression (which I&#;m realizing is more likely ADHD-PI, so the doc was at least half right in prescribing the bupropion.). This greatly exacerbated my anxiety, to the point I was having more panic attacks in a week than I was previously having in a month.

With gabapentin xmg daily, as needed, that&#;s no longer the case. My quality of life is much improved.""",2,4
50525,"""The Klonopin helped my anxiety very much, probably to a level of  or  out of ten.  However, after a few years, trying to taper off of it is proving to be a living nightmare and I am experiencing Benzo Withdrawal Syndrome.  It&#;s absolutely awful and I can see why some people are never able to stop taking it,""",2,2
50640,"""It works like a charm. I only take it if I&#;m having a panic attack but it helps a lot. It can really calm you down and feel better if you are in a panic. The only downside is that it can be very addictive.""",2,2
50655,"""My  year old has been on Vyvanse for  years. There are times that I have not had any medicines to give him and the teacher says its like a whole other kid. Without him being on Vyvanse I was at the school all the time and my grades were dropping. I did not want him on medicines at first but I am so happy that I decided to. He is still my little Buge and not a hot mess. Such a joy and thanks to Vyvanse I have my son back.
""",1,6
50668,"""I am on a mg dose of xanax on and off for about a year for imsonia, night panics and generalized anxienty. And I can say this is the best pill. Worked great for me. It helps me feel calm allday and relaxed during the night so I can get the sleep I need. Gives me energy during the day when I drink green tea early morning.""",2,1
50859,"""My  year old Son has been on Accutane for two months after long struggle with cystic acne. Is on mg daily. He had a horrible breakout after taking it for a month that he couldn&#;t attend school for two weeks because of comments at school. His acne was at its worst. Now its two months on it and looks better but not best. He still has breakouts on chin, forehead and around nose but not as before. Old cystic breakouts (big pus filled bumps) are clearing but slowly especially around nose and sides of chin. Side effects are dry lips, face and eyes but is comfortable with Cetaphil cleanser and moisturizer. He plays soccer almost everyday and not experiencing problems so far.""",0,5
50999,"""Cons - suppresses appetite, and it sucks cause I&#;m already so thin! (Sz )

Pros - increased attention, more social, and can think clearly, smoother movements.. thinking before speaking, calmer. 

I don&#;t take it on weekends (job is relatively easier on weekends) and off days. 

ADHD (severe - combined type) 

I think those of you who are experiencing suicidal urges &amp; depressive moods are more likely dealing with a much deeper issue.""",1,6
51006,"""Best medication ever. It takes a bit to kick in but once it does ....amazing.  I am on my way to getting my life back. Don&#;t get discouraged it works. I was in my sixth week before i felt it and my doctor increased me to  mg and things are going great.""",2,3
51034,"""In mid May suffered a back injury after heavy squatting in the gym. The pain progressively became worse to the point where you couldn&#;t stand/walk. The Dr (in a UK citizen) started me on Cocodamol and naproxen. This did not help, and I was unable to sleep for more than  hrs a night. I was then put on amitriptyline which did not work, as well as slow release morphine, still with no relief. Yesterday ( Jul ) my Dr advised switching from amitriptyline to Gabapentin. I started on xmg tablets. Last night I had my first full night sleep in  weeks. I cannot explain the relief I felt to wake up in the morning like a normal person again.""",4,4
51060,"""I have severe kidney stones and back and joint pain. I took lortab for years. I wanted to get off the heavy duty pain meds. My Dr. suggested tramadol mg. I really had little hope it would help. I was shocked when it worked. I take  mg tabs a day. It gave me my life back. My Dr. told me to try it and if it didn&#;t work I could go back to the lortab. There&#;s no need for that now. I only wish I discovered it sooner!""",4,7
51192,"""I started Accutane about  months ago. I&#;ve noticed a lot of these people saying that it made their acne worst in the beginning and they&#;re hoping for better results toward the end. In the beginning, my acne actually got pretty bad, so along with the constant dryness it dropped my self-esteem pretty low. Then throughout the next few weeks into the third month my acne suddenly started disappearing, and now into my th or th month I have absolutely no acne, besides the occasional zit. Although I did obtain some sort of rash the doctor said was from the Accutane, we originally thought it was ringworm but its a type of eczema. The doctor said it will go away in a few days with the prescribed cream. """,0,5
51213,"""This medication is the only thing that has removed acne from my face and back. The side effects are horrible, but bearable. The side effects that I experienced during my treatment were: throbbing dry lips, itchy skin, dry eyes, blood in nose, severe joint pains, lethargy, darkening of face(temporary) and headaches.
My dosage was from month  to : mg, mg, mg, mg, mg, mg. (Body weight kgs).

If you suffer from cystic acne I would definitely recommend this medication. It really works and although the side effects are severe, they are temporary! Really worth it in the end""",0,5
51229,"""While on Lexapro, I had the best and worst times of my life. I switched to Lexapro from Paxil in college and it made an immediate difference -- no more brain fog or fatigue, and all the anxiety fighting effects. I was very happy and able to deal with the high stress of superior achievement in a difficult major. However, one night I had too much to drink (not high enough BAC for alcohol poisioning, just more than I was used to) and woke up the next morning a fearful, panicked, and emotional wreck. That was over  and / yrs ago and I am still not the same person I used to be. I can&#;t say for sure that the Lexapro and the alcohol caused this major change in me, but my time on Lexapro has certainly shown me the polar opposites of my life.""",2,3
51278,"""I have panic attacks and anxiety bad and have had for about  years give or take. I endured sexual abuse as a child, and still have night terrors of that, I have went through a very bad divorce that has continued for  years now. I got divorced in november , and I am still battling it. I also have depression and PTSD. I have been on a lot of different medications. Tried a lot that didn&#;t work or the side effects was unbearable. I was finally put on alprazolam and prozac. It has been a life changer. I feel like I have control over these problems now instead of them controlling me,""",2,1
51377,"""My son was diagnosed with ADHD at age , we tried adderall for a while, the patch, but he didn&#;t like them. Finally we found Vyvanse. He is  years old now prescribed two mg pills/day but he takes only takes one in the morning because he was having side effects (lip licking, finger playing). This pill has seriously changed our life&#;s, if you are a parent wondering whether or not to use medication JUST TRY IT. We used to sit for hours after school trying to get home work done. His teacher would tell me he is not completing work and distracting other students. He was falling behind in school and now he is caught up and receiving awards.""",1,6
