,review,condition,drugName,card2vec
1082,tried pill many others prescribed femcon fe loestrin  ortho lo yaz ocella pills caused terrible stomach pains go nauseous periods throughout day recurring dizziness finally decided speak doctor switch alesse however wasnt went pharmacy learned alesse longer available us given generic aviane birth controls tried one tolerable eat normally without deal recurring stomach upset almost every meal dont worry dealing crippling stomach pains,173,1312,"[0.3474685847759247, 0.6047664284706116, 0.05258450657129288, 0.8693180680274963, 0.14755503833293915, 0.3759535849094391, -0.7740013599395752, 0.38133952021598816, 0.40690845251083374, -0.026460018008947372, 0.8192919492721558, 0.6908941864967346, -0.5058108568191528, -1.5401419401168823, -0.4200771450996399, 0.3287504315376282, 0.2082645744085312, -0.6281171441078186, -0.144705668091774, -0.4524194300174713, 0.17851749062538147, -0.7305305600166321, -0.2219691425561905, -0.3420810401439667, 0.3959188461303711, 0.004583609756082296, -0.6375108957290649, 1.2861387729644775, 0.14725539088249207, 0.5342827439308167, 0.4040641784667969, 0.27626535296440125, 0.42580872774124146, 0.8466888666152954, 0.4291059672832489, -0.45452627539634705, 0.7740338444709778, 1.690447449684143, 0.40629109740257263, 0.2590940296649933, 0.5279631018638611, 0.0655849352478981, -0.16837747395038605, 0.3075590133666992, -0.07640913128852844, 0.1850435882806778, -0.9318018555641174, 0.11595306545495987, 0.07824113219976425, -0.12754616141319275, 0.3145864009857178, 0.7287775874137878, 1.1121917963027954, -0.6676657199859619, 0.4499480724334717, 0.8070034384727478, -0.504642903804779, 0.1732369214296341, 0.9200487732887268, 0.0007939547067508101, 0.270929217338562, 0.3048257529735565, -0.750846266746521, 0.8807222247123718]"
1083,tried pill many others prescribed femcon fe loestrin  ortho lo yaz ocella pills caused terrible stomach pains go nauseous periods throughout day recurring dizziness finally decided speak doctor switch alesse however wasnt went pharmacy learned alesse longer available us given generic aviane birth controls tried one tolerable eat normally without deal recurring stomach upset almost every meal dont worry dealing crippling stomach pains,173,102,"[0.45492902398109436, 0.6533504128456116, 0.0014858099166303873, 0.8659979104995728, 0.1297215074300766, 0.2728152275085449, -0.7383849620819092, 0.5250918865203857, 0.43669068813323975, -0.15175770223140717, 0.827422022819519, 0.6174730062484741, -0.5823701620101929, -1.3250354528427124, -0.34658268094062805, 0.3197975158691406, 0.34693506360054016, -0.4774625301361084, -0.2480718195438385, -0.3698485195636749, 0.2229928970336914, -0.870508074760437, -0.1713208258152008, -0.3642648756504059, 0.2708178460597992, -0.014925730414688587, -0.5143120288848877, 1.2338122129440308, 0.2652342617511749, 0.5980920791625977, 0.32507994771003723, 0.2831158936023712, 0.458065390586853, 0.8510786294937134, 0.443825900554657, -0.45518815517425537, 0.684180498123169, 1.7475810050964355, 0.3323413133621216, 0.3002600073814392, 0.44565585255622864, 0.012545359320938587, -0.23060806095600128, 0.3531948924064636, -0.21679440140724182, 0.09938859194517136, -1.0394271612167358, 0.047141432762145996, 0.03653434291481972, -0.23499071598052979, 0.2566646933555603, 0.6294775009155273, 0.9946247935295105, -0.6678549647331238, 0.3221261203289032, 0.8076267242431641, -0.40944910049438477, 0.2745749056339264, 0.8340399265289307, -0.0859007015824318, 0.2369757741689682, 0.21849651634693146, -0.8345780968666077, 1.0232332944869995]"
1084,got skyla inserted  months ago its nightmare since im  kids friend got mirena  said amazing figured id try insertion pretty painful cramps week went back got ultrasound check placement informed irritated cyst would go awayhere  months later every  weeks get insane cramping week long period skyla  day long periods cramps told  months im still pain im getting obviously body going adjust its worth pain ive also gained lbs first  months noticed zits anxiety hormones crazy,173,2931,"[-0.9611818790435791, 0.6969929933547974, -1.6296827793121338, -1.1231739521026611, 0.5590363144874573, -0.05290214717388153, -0.6115075349807739, 0.2534683644771576, -0.8853119015693665, -0.8054750561714172, -0.643457293510437, 0.35714417695999146, -0.44765862822532654, -1.3176015615463257, 0.09641361236572266, -0.49914732575416565, 0.40692371129989624, 0.35585105419158936, -0.5418322682380676, -0.4427657127380371, 0.3530523180961609, -0.31497618556022644, -0.13718196749687195, -0.9920050501823425, -0.7271471619606018, 0.04198658838868141, 0.0029523572884500027, 0.46403396129608154, 1.840850591659546, 0.5945714712142944, -0.5029405355453491, 0.9182206988334656, -0.03107481077313423, 0.23310430347919464, 1.565119743347168, -1.5012319087982178, -0.20453639328479767, 0.9732518792152405, -0.6715037822723389, -0.18781864643096924, -0.8041264414787292, 0.29968327283859253, -0.3815740644931793, 1.7969924211502075, -0.9448827505111694, 0.5289427638053894, -0.2281452715396881, 0.5482308864593506, -0.6332417726516724, 0.310491681098938, -0.049419332295656204, -0.2546009123325348, 0.8307285308837891, 0.5777246356010437, 1.3148531913757324, -0.46383538842201233, -0.12819357216358185, 0.3276510536670685, 1.2700246572494507, -0.861078143119812, 0.8417237997055054, -0.20449039340019226, 0.2930760681629181, 1.2295185327529907]"
1085,im  years old three shots dont understand people make shot big deal barely hurt got even cares shot going help long run never bad side effects recommend woman likes proactive,409,1486,"[0.2829618453979492, 0.06204197183251381, -0.17898383736610413, -1.077040672302246, -0.36176782846450806, 0.9004917144775391, -0.5993319153785706, -0.17879074811935425, -0.39188826084136963, -0.06715337187051773, -0.23011192679405212, 0.5354672074317932, -0.13086356222629547, -0.6716192364692688, 0.1292037069797516, -0.7575379610061646, 0.06617812812328339, 0.2885967195034027, 0.19475169479846954, -0.5993123054504395, 0.2509976923465729, -0.6382917165756226, 0.2071022093296051, 0.13046672940254211, 0.8466976881027222, -0.9924225211143494, 0.06285232305526733, 0.5948097705841064, 0.2941235303878784, -0.05857088416814804, 0.02254956215620041, 0.22173014283180237, -0.10866276174783707, 0.16430094838142395, 0.3489539623260498, -0.41024351119995117, 0.15455792844295502, 0.860347330570221, -0.16882425546646118, 0.21661905944347382, 0.6738686561584473, 0.07824545353651047, -0.3851605951786041, -0.2724187672138214, -0.36246374249458313, -0.20973144471645355, -0.7869802713394165, -0.8717271089553833, 0.25431835651397705, 0.5722262859344482, -0.7085279226303101, 0.04822925478219986, 0.07681537419557571, -0.4414965808391571, 0.3664267659187317, -0.23611660301685333, -0.18486729264259338, -0.03420838713645935, 1.309422254562378, -0.4504506587982178, -0.26768064498901367, -0.06201792508363724, 0.08440035581588745, 0.5789016485214233]"
1086,started avastin november  spinal cord tumor started growing diagnosed brain cancer february  tumor spinal cord brain effects right leg makes weak surgery went radiation chemo april tumor shrinking summer started grow november  started avastin addition existing chemo called temodar soon started avastin tumor started shrink symptoms got way worse shrinking tumor side effects worse,360,507,"[0.9780887365341187, -0.09843474626541138, -0.9947788119316101, -0.20933234691619873, 0.060715142637491226, -1.134049415588379, -0.9209284782409668, 0.0823039636015892, -0.20262280106544495, -0.9462291598320007, -0.10135339945554733, 0.6846055388450623, -1.2185840606689453, -1.3585624694824219, 1.4803590774536133, -0.016330435872077942, 0.4476783573627472, 0.14902228116989136, 0.8557974100112915, 0.9682928323745728, 0.9405694603919983, -0.8663840889930725, 0.15727607905864716, 0.9561695456504822, 1.0874377489089966, 0.5142635703086853, 0.06821469217538834, -1.1083136796951294, -1.832114577293396, 0.29887884855270386, -0.25344318151474, -0.6541363000869751, -0.6944665908813477, -0.1175248771905899, 0.10391223430633545, -0.42095962166786194, 1.2205432653427124, 0.14808151125907898, -0.5725736618041992, -0.23942649364471436, -1.569684386253357, 0.4332829713821411, -1.3390629291534424, -0.5836398601531982, -0.5251770615577698, -0.30710479617118835, 0.891117513179779, -0.9303187131881714, 0.9185965657234192, 1.0884796380996704, -0.6717368960380554, -0.6084990501403809, 0.7059156894683838, -0.37600722908973694, 0.7569453120231628, 0.004705122206360102, -1.4314628839492798, -0.22933165729045868, 0.44145217537879944, -1.1488208770751953, 0.34134992957115173, -0.595301628112793, -0.17008957266807556, 0.8072325587272644]"
1087,put half mg week titrated  mg everything cool rd th wk started feeling overhwelmed ridiculously tired couldnt keep eyes open progrogressed full blown anxiety pov never thought could rexulti finally saw doc took straight away seeing anxious hardly deal son life sadly calm noise lots energy around exascerbate anxiety ive completely day im wondering long im anxious hope  weeks doc said cant keep living anxiety tiredness wanting cry time,506,2776,"[-0.1123892217874527, 1.1777714490890503, -0.8061971068382263, 1.0956499576568604, 1.2909094095230103, 0.0928550511598587, -0.5569397807121277, -1.3567801713943481, -1.0575107336044312, 0.7142452001571655, 1.0760785341262817, -0.5391251444816589, -0.7312095165252686, 0.01763424649834633, 0.028768377378582954, -0.2917154133319855, -0.7592834234237671, 0.5389384627342224, -1.0216856002807617, -0.16585713624954224, 1.1867387294769287, 0.3375328481197357, -0.8001882433891296, 0.32610654830932617, 0.924750566482544, 0.14337268471717834, 0.7601141929626465, -0.5746341943740845, -0.008048133924603462, -0.4004531800746918, -0.7298985719680786, -1.2747620344161987, -0.1597927212715149, 0.7027801275253296, 0.32261011004447937, 0.59417325258255, 0.5590023398399353, 0.5784730315208435, 0.17192815244197845, 0.03246226906776428, 0.13603009283542633, 0.6095673441886902, -0.13414286077022552, 1.2694976329803467, -1.2840073108673096, 0.7459629774093628, -1.098750114440918, 0.9740003943443298, 0.05284910649061203, 0.22869473695755005, -0.18876516819000244, 0.3481505513191223, 0.6951554417610168, -0.39079105854034424, 0.7146000266075134, -1.0032310485839844, 0.14253322780132294, -0.015122007578611374, 1.4148908853530884, -0.5682933926582336, -0.7033560276031494, -0.6162917017936707, 0.3101331293582916, -0.12980917096138]"
1088,im  prescribed pill irregular periods ive week id rather deal bleeding month straight side effects im already experiencing extremely bloated couple painful pimples pop face chest sore swollen breasts increased appetite  lbs gained weight worst zero sex drive psycho bitch husband deserve treated like im throwing rest straight garbage,173,2972,"[-0.28956180810928345, 0.4907086193561554, -0.43693527579307556, 0.36956095695495605, 0.3055576980113983, 0.6606477499008179, -0.3393561840057373, -0.6432251930236816, -0.3574645519256592, -0.3760266900062561, 0.45818284153938293, 0.40553024411201477, -0.5137726664543152, -0.9408467411994934, -0.159525066614151, -0.059945981949567795, 1.2630548477172852, -0.06308484077453613, 0.043345555663108826, -0.43954116106033325, 0.9183445572853088, -0.3927551209926605, -0.08255096524953842, 0.08748126029968262, 0.0992150828242302, 0.17045599222183228, 0.29073283076286316, 0.13834303617477417, -0.3723468780517578, 0.04674021527171135, 0.5021492838859558, 0.13916096091270447, 0.6046575307846069, 0.15622064471244812, 0.27755552530288696, 0.3370799720287323, -0.5772575736045837, 1.3649193048477173, 0.3680597245693207, 0.13436244428157806, 1.0023690462112427, 0.34253013134002686, 0.2736454904079437, 0.9174416661262512, -0.1760556697845459, 0.04486735537648201, -0.49434882402420044, -0.949664294719696, 0.10133418440818787, 0.06665369868278503, 0.12020885944366455, 0.53703773021698, 1.0072969198226929, 0.9422421455383301, 0.7045444846153259, -0.15060904622077942, -0.203557550907135, 0.00016670356853865087, 0.42173337936401367, -0.48964765667915344, 0.7907149791717529, -0.45844611525535583, 0.3589828908443451, 0.17143508791923523]"
1089,many years chronic bloating constipation finally tried linzess taking miralax daily sometimes twice day year still relief horrible bloating id eat half apple move belt buckle little month linzess longer bloated go every day feel much better side effects learned taking food result diarrhea help feel constipated try ever need,240,1882,"[1.0878525972366333, 0.8489265441894531, 0.46248292922973633, 0.6231696009635925, -0.6147581934928894, 0.00990501418709755, 0.480522096157074, 0.5363456010818481, 0.00970029179006815, 0.3759344220161438, 0.5976533889770508, -0.004579133819788694, 0.06816484034061432, -1.45698881149292, -0.21046404540538788, -0.07528525590896606, -0.13276070356369019, -0.4119069576263428, 0.3288433849811554, -0.9788064956665039, 0.5354233980178833, 0.1817912459373474, -0.26166191697120667, -0.33631038665771484, -0.03974331170320511, -0.8506771326065063, -0.14518548548221588, 0.9192128777503967, -0.6630012392997742, 0.4832570254802704, 0.5157386660575867, 1.2032129764556885, -0.8354559540748596, 0.02813713811337948, 0.675902247428894, 0.31179967522621155, -0.9064973592758179, 0.9569014310836792, -0.3028567433357239, 0.8841862678527832, 1.0087186098098755, 0.3099287152290344, -0.5690313577651978, -0.5895769000053406, -0.5062952041625977, 0.4184827506542206, -0.32938751578330994, 1.1266428232192993, 0.5025807619094849, -0.647585391998291, 0.02071039006114006, 1.346359372138977, -0.3501283824443817, -0.15529708564281464, -0.21175622940063477, -0.2889910638332367, -0.28599536418914795, -0.028407514095306396, 0.7553470730781555, -0.3368862271308899, -0.9956427216529846, 0.6473025679588318, -0.47314488887786865, 0.405523419380188]"
1090,feel like medication ok minus weight gain feels like put lot weight hard loose,742,2433,"[0.6529811024665833, -0.03049466758966446, -0.43984469771385193, 0.1652441769838333, 0.9043189883232117, 0.17582283914089203, 0.24387268722057343, 0.04534250125288963, -0.28993239998817444, 0.10205835849046707, 0.6880418062210083, -0.09791786968708038, -0.29251784086227417, 0.4955330491065979, -0.3840450048446655, 0.0003545351792126894, 0.02005825750529766, -0.12567296624183655, -0.04038090258836746, -0.25024786591529846, 0.01762080192565918, 0.40181589126586914, -0.17535798251628876, -0.3153786063194275, 0.0674227848649025, -0.033209651708602905, -0.2149219661951065, 0.04021904245018959, -0.1489168107509613, -0.009081942960619926, 0.2334408164024353, -0.1449863165616989, -0.5858686566352844, -0.3359169661998749, 0.34115326404571533, 0.6850916147232056, 0.3674548864364624, 0.1397908478975296, 0.0959559977054596, 0.23991388082504272, 0.3880986273288727, 0.031186895444989204, 0.2825813591480255, -0.6120129227638245, -0.3934011459350586, -0.2294970154762268, -0.271862655878067, -0.2782573699951172, 0.1684127151966095, -0.137781023979187, -0.17534783482551575, 0.07851333916187286, -0.28053414821624756, 0.1432502120733261, 0.5143963098526001, -0.02191181667149067, -0.29731854796409607, 0.4112059473991394, 0.022744111716747284, -0.37017151713371277, 0.10144491493701935, -0.7308708429336548, -0.19204013049602509, -0.0037541952915489674]"
1091,contraceptive  months havent experienced weight gain weight loss  pants sizes altough thats great everything ive also sick stomach least week period didnt stop extremely heavy also jumps around lot months didnt one wasnt pregnant went doctor get put medication restart period think its decent,173,1312,"[0.8019537925720215, 0.036503225564956665, -0.703389585018158, -0.18755674362182617, 0.9346282482147217, 0.6231284737586975, 0.3529701828956604, 0.5976371765136719, 0.045382075011730194, -0.025756582617759705, 1.2974916696548462, 0.044881176203489304, -0.3855629861354828, -0.2942572832107544, -0.730921745300293, 0.003640043083578348, -0.232916921377182, 0.6025114059448242, -0.004511336330324411, 0.5525534749031067, -0.04527253657579422, -0.40660741925239563, 0.0663466602563858, -0.3126068413257599, -0.4635758101940155, -0.2507806420326233, 0.07767532765865326, 0.36684268712997437, 0.28060024976730347, 0.01598197966814041, 0.030969567596912384, 0.23699988424777985, -0.203388974070549, 0.7990568280220032, 0.23978585004806519, 0.49949315190315247, 0.12465378642082214, 1.0120155811309814, -0.12403930723667145, 0.4367029368877411, 0.23057159781455994, 0.302044540643692, 0.4875483810901642, -0.20561374723911285, -0.38255369663238525, 0.11379719525575638, -0.4487355351448059, -0.41433951258659363, 0.08318363130092621, -0.03446225821971893, -0.8530310392379761, -0.0010822790209203959, 0.9605385065078735, -0.06376910209655762, 1.5172386169433594, -0.3272831439971924, 0.05464146286249161, 1.354419231414795, 0.604348361492157, -0.6561895608901978, 0.4591943621635437, -0.025715414434671402, -0.6074775457382202, 0.3857390880584717]"
1092,contraceptive  months havent experienced weight gain weight loss  pants sizes altough thats great everything ive also sick stomach least week period didnt stop extremely heavy also jumps around lot months didnt one wasnt pregnant went doctor get put medication restart period think its decent,173,131,"[0.6245177984237671, 0.11373663693666458, -0.8860257267951965, -0.19018878042697906, 0.8945369720458984, 0.7112718224525452, 0.10243317484855652, 0.6922119855880737, -0.008912122808396816, 0.05017739534378052, 1.2788454294204712, 0.14534969627857208, -0.41024747490882874, -0.5143951177597046, -0.6235418319702148, 0.009376651607453823, -0.2261802852153778, 0.5631418824195862, -0.08173738420009613, 0.5947446227073669, -0.09330181032419205, -0.3013819754123688, -0.017566721886396408, -0.44764629006385803, -0.5613372325897217, -0.2109568566083908, 0.15975835919380188, 0.2219836264848709, 0.37382420897483826, -0.003208441659808159, 0.25747349858283997, 0.4030688405036926, -0.13542720675468445, 0.750961422920227, 0.28700825572013855, 0.3396652638912201, 0.11251596361398697, 1.006930947303772, -0.01140664517879486, 0.44954490661621094, 0.2203114926815033, 0.4274822771549225, 0.5476770401000977, -0.28895100951194763, -0.36281561851501465, 0.18847647309303284, -0.6974935531616211, -0.3905037045478821, 0.130703404545784, -0.011103532277047634, -0.7724855542182922, -0.019992539659142494, 1.0811742544174194, -0.09570951759815216, 1.4374339580535889, -0.4645572602748871, 0.12916584312915802, 1.2847148180007935, 0.5327569246292114, -0.6562753915786743, 0.6219702959060669, 0.0020274699199944735, -0.4547004997730255, 0.583991527557373]"
1093,experience pill okay periods last longer  days also spot annoying also take pill time everyday dont think ill staying pill much longer,173,2286,"[0.6651796102523804, -0.3739670217037201, -0.5969845056533813, -0.06618033349514008, 0.059050943702459335, 0.5569247007369995, 0.23038338124752045, 0.003413375234231353, 0.5249752998352051, 0.6957139372825623, 0.904297947883606, -0.19607047736644745, -0.5378379225730896, -0.4193422496318817, -0.4218026399612427, 0.4135327637195587, 0.2368001937866211, -0.1686767041683197, -0.5448548793792725, -0.34512752294540405, 0.6018683910369873, -0.44696661829948425, 0.25654324889183044, 0.410733699798584, 0.1135813370347023, -0.4252578914165497, 0.004831363912671804, 0.533901572227478, 0.4470079839229584, 0.6290842294692993, 0.37624266743659973, -0.03353498503565788, -0.23330308496952057, -0.014497844502329826, -0.22161337733268738, 0.40038377046585083, 0.3023979961872101, 0.9351629018783569, -0.060550522059202194, 0.39082828164100647, 0.21795417368412018, 0.10419026017189026, 0.6901479363441467, 0.5759353041648865, -0.4283978044986725, -0.008526651188731194, 0.02477644756436348, -0.32681509852409363, -0.2403413951396942, -0.025823047384619713, -0.09363142400979996, -0.2136336714029312, 0.886430025100708, -0.23606038093566895, 0.6857594847679138, 0.2706277370452881, -0.2663877308368683, 0.08155005425214767, 0.3097562789916992, -0.4476493299007416, 0.1322440356016159, -0.24960066378116608, -0.4167318046092987, -0.4586407244205475]"
1094,taking toprol xl  years doctor put mg twice day total mg day approve insurance company working side effects blood pressure steady ,399,2080,"[0.6243654489517212, -0.03360870108008385, -0.20865720510482788, 0.2559601068496704, 0.1781499683856964, 0.04376469925045967, 0.07643387466669083, -5.2040795708307996e-05, -0.28277167677879333, 0.010936284437775612, 0.5027212500572205, -0.07739777117967606, -0.5415663719177246, -0.49226105213165283, -0.1805916130542755, -0.184468075633049, -0.08924402296543121, 0.13675600290298462, -0.32043224573135376, 0.3613482713699341, 0.3818820118904114, 0.2968451678752899, 0.3572474420070648, 0.2809417247772217, 0.5340462327003479, -0.18682073056697845, -0.6510551571846008, 0.07580661028623581, -0.3522641360759735, 0.5261655449867249, 0.5055110454559326, 0.11309932172298431, -0.4967097342014313, -0.01407783292233944, 0.15878282487392426, 0.03731858357787132, -0.041124116629362106, 0.4581983685493469, 0.0619962252676487, -0.19708134233951569, -0.4298793375492096, 0.08165344595909119, -0.17398636043071747, 0.07911502569913864, 0.0413091816008091, -0.105629563331604, -0.5681806206703186, -0.11900611966848373, 0.4110398590564728, 0.030861999839544296, -0.2742902636528015, -0.15708285570144653, -0.28376197814941406, 0.30728456377983093, -0.04914691671729088, -0.21375912427902222, -1.0317180156707764, 0.23800544440746307, 0.26711973547935486, -0.3854481279850006, -0.1159786507487297, 0.047826122492551804, -0.7293530702590942, 0.5231505036354065]"
1095,side effects intolerable effective minimizing bladder spasms resulting leakageincontinence,620,1060,"[-0.015150964260101318, -0.2914326786994934, -0.2762943506240845, 0.2669624984264374, 0.16037051379680634, -0.013567374087870121, 0.0009504662011750042, 0.17203333973884583, -0.14439652860164642, -0.09791548550128937, 0.11666202545166016, 0.20470596849918365, -0.37899383902549744, -0.46057605743408203, -0.05490246042609215, -0.20820949971675873, 0.025702718645334244, -0.06736522912979126, 0.10766304284334183, 0.17970497906208038, 0.23287567496299744, -0.16835139691829681, 0.15579290688037872, -0.04228400066494942, 0.4099874198436737, 0.11787295341491699, -0.3536863923072815, -0.14742305874824524, -0.398674339056015, 0.14531001448631287, 0.4264298677444458, 0.33477583527565, -0.27854466438293457, -0.14220669865608215, -0.03547809645533562, 0.15418247878551483, 0.2649119794368744, 0.326403945684433, -0.0866057425737381, -0.03490313142538071, -0.1504337042570114, 0.10024749487638474, 0.009971446357667446, -0.14315654337406158, -0.1300881952047348, -0.25455012917518616, -0.5520229339599609, 0.05268029868602753, 0.40918487310409546, -0.017221400514245033, -0.17271728813648224, -0.41092875599861145, 0.24336718022823334, -0.04282311350107193, 0.3791002333164215, 0.004072858020663261, -0.39726850390434265, 0.3388887047767639, 0.43048396706581116, -0.3080737888813019, 0.09718955308198929, -0.25228551030158997, -0.40846744179725647, 0.2702137529850006]"
1096,everyone else terrible problem sweating wear black shirts tank tops started using year ago aside burning soreness great however went refill prescription told longer manufacturing went many pharmacys told thing dont understand,415,1631,"[0.03199832886457443, -0.7216535210609436, 0.45499387383461, -0.38083985447883606, 1.0587537288665771, -0.3737495541572571, -0.24454538524150848, -0.8032093644142151, 0.07798640429973602, -0.5650741457939148, 0.3625822365283966, 0.6476060152053833, -0.35483404994010925, -0.948943555355072, 0.385513573884964, 0.4089982211589813, 0.5576486587524414, -0.2611090838909149, -0.4100101888179779, -1.1899330615997314, 0.6442480683326721, -0.5917399525642395, 0.253199964761734, -0.17315050959587097, -0.04175066947937012, -0.14392653107643127, -0.6266118288040161, 0.951747477054596, -0.1908392310142517, 0.6092739105224609, 0.4258982837200165, -0.07625938206911087, -0.2272046059370041, 0.17925004661083221, 1.197308897972107, -0.23244072496891022, 0.6270527839660645, 0.7083501815795898, 0.7532010078430176, -0.44325143098831177, -0.010813956148922443, -0.5519110560417175, -0.6496383547782898, -0.5617907643318176, 0.14624612033367157, -0.4993382394313812, -0.6545050740242004, 0.35156285762786865, 0.8357884287834167, 0.7753647565841675, 0.5581796169281006, -0.05192895606160164, 0.49809974431991577, -0.26321345567703247, 0.42905518412590027, 0.3631787896156311, -0.43908655643463135, -0.49192866683006287, 0.5938038229942322, 0.4729057252407074, 0.037150751799345016, -0.4477132260799408, -0.8163211345672607, 0.3162326216697693]"
1097,honestly felt better  hours begging treatment infectedabcessed tooth surprisingly quick considering amount pain downside least seems slight nauseadizziness taken ibuprofen earlier due pain meant bad times front toilet careful meds may upset stomach,160,2481,"[-0.013187137432396412, -0.4687761664390564, 0.052345674484968185, 0.0630187913775444, -0.5142090916633606, -0.5345535278320312, 0.39959028363227844, 0.6113420724868774, 0.7035850882530212, -0.17293478548526764, 0.13870346546173096, 0.23250672221183777, 0.17748641967773438, -1.4319331645965576, -0.38045981526374817, 0.6008116602897644, -0.23890557885169983, -0.14510872960090637, 0.09551499038934708, 0.3415917456150055, -0.2900775671005249, 0.2603200674057007, 0.2173125147819519, -0.7384549975395203, 0.3438195288181305, -0.1654098480939865, -0.6490315794944763, 0.061968181282281876, 0.2674187421798706, 0.5934929251670837, 1.0026781558990479, 1.0228846073150635, -0.47732487320899963, -0.6472082138061523, -0.24545249342918396, 0.1513499766588211, 0.8254050016403198, 0.43844857811927795, -0.6263393759727478, 0.5025942325592041, -0.13131174445152283, 0.3354884088039398, -0.5512040257453918, -0.7339482307434082, 0.19709405303001404, -0.8845791220664978, 0.22051605582237244, 0.14207834005355835, 0.7154825329780579, 0.04837024584412575, -0.7770683169364929, 0.35123002529144287, 0.09901132434606552, -0.7138906121253967, 1.4235265254974365, -0.17866000533103943, -0.7089811563491821, 0.7874305844306946, 0.029977552592754364, -0.18576554954051971, 0.07753966003656387, 0.3963852822780609, -0.5490455627441406, -0.1042528748512268]"
1098,followed instructions correctly kind worked first stopped back zero overbloated belly unsettling feeling day use,238,1174,"[-0.7359080910682678, -0.05888758599758148, 0.2011798620223999, 0.3176436722278595, 1.177828073501587, 0.2772635221481323, 0.4615233540534973, -0.16071806848049164, -0.17774417996406555, 0.07736115157604218, 0.34307384490966797, 0.845483124256134, 0.0786394253373146, -0.07775383442640305, 0.48053303360939026, -0.8989982008934021, 0.47153472900390625, 0.12767089903354645, -0.37146204710006714, 0.14538080990314484, 0.09406616538763046, -0.38378751277923584, 0.4924761950969696, -0.12465070933103561, -0.20935046672821045, 0.3850426971912384, -0.13506406545639038, -0.5743460059165955, -0.21894492208957672, -0.10351172089576721, 0.628082275390625, -0.2702380418777466, 0.3373822569847107, 0.28069621324539185, -0.03648117557168007, 0.17341046035289764, 0.500266432762146, 0.48178830742836, 0.44127386808395386, -0.2168463170528412, -0.4468785226345062, 0.057003382593393326, 0.17387790977954865, -0.38213297724723816, 0.7547187805175781, 0.18140174448490143, 0.1383729875087738, -0.5969735383987427, -0.37368711829185486, -0.19609971344470978, -0.31526419520378113, -0.34430593252182007, 0.29645836353302, -0.5245053172111511, 0.380952924489975, 0.1282319277524948, 0.2104274332523346, 0.48600080609321594, 0.27924594283103943, -0.5141990184783936, 0.08802535384893417, -0.26172444224357605, -0.5883902907371521, -0.29677465558052063]"
1099,get bad reaction adhesive redness stays weeks itches bad clean area acetone remove adhesive residue clean alcohol hope guys create one sensitive adhesive like sensitive bandage product helps overactive bladder hope itch redness go away using patch month,620,2423,"[-0.3220277726650238, -0.15338760614395142, -0.37864595651626587, -0.785532534122467, 1.7182906866073608, -0.36641666293144226, 0.6519589424133301, 0.07258645445108414, -1.250861406326294, -0.47846388816833496, 1.5653431415557861, 1.0049254894256592, -0.462139368057251, -0.11621785908937454, 0.27508631348609924, -0.2108514904975891, 0.04187929257750511, -0.0705280601978302, 0.0391189306974411, -0.39748018980026245, 0.03979996591806412, -0.19817395508289337, 0.24052852392196655, -0.7337903380393982, 0.9017878770828247, 0.6149640083312988, -0.31544002890586853, 0.3182343542575836, -0.778867781162262, 0.4730401039123535, -0.13632386922836304, 0.9406410455703735, -0.8204954266548157, 0.014240192249417305, 0.10805539786815643, 0.5389243960380554, -0.00713061960414052, 0.1758793145418167, -0.18677808344364166, -0.47020211815834045, -0.042419567704200745, -0.5131863355636597, -0.8055041432380676, 0.4048617482185364, -0.6003694534301758, -0.8305848240852356, -1.4972267150878906, 0.08227542042732239, -0.40201234817504883, 0.8384580016136169, -0.05288339778780937, 0.07141787558794022, 0.5177763104438782, -0.06759896129369736, 1.186860203742981, 1.0137863159179688, 0.09807798266410828, 0.390688419342041, -0.010698960162699223, -0.4928383529186249, 0.08395916223526001, -0.9415122866630554, -0.2973899245262146, 0.9543430209159851]"
